,Datetime,Site,Latitude,Longitude,hourly_BC
0,5/19/2017 0:00,1,37.79364,-122.26343,1.13
1,5/19/2017 1:00,1,37.79364,-122.26343,1.34
2,5/19/2017 2:00,1,37.79364,-122.26343,1.17
3,5/19/2017 3:00,1,37.79364,-122.26343,1.07
4,5/19/2017 4:00,1,37.79364,-122.26343,0.76
5,5/19/2017 5:00,1,37.79364,-122.26343,0.75
6,5/19/2017 6:00,1,37.79364,-122.26343,0.89
7,5/19/2017 7:00,1,37.79364,-122.26343,1.65
8,5/19/2017 8:00,1,37.79364,-122.26343,2.61
9,5/19/2017 9:00,1,37.79364,-122.26343,2.98
10,5/19/2017 10:00,1,37.79364,-122.26343,3.06
11,5/19/2017 11:00,1,37.79364,-122.26343,3.09
12,5/19/2017 12:00,1,37.79364,-122.26343,2.09
13,5/19/2017 13:00,1,37.79364,-122.26343,1.63
14,5/19/2017 14:00,1,37.79364,-122.26343,1.4
15,5/19/2017 15:00,1,37.79364,-122.26343,0.95
16,5/19/2017 16:00,1,37.79364,-122.26343,1.35
17,5/19/2017 17:00,1,37.79364,-122.26343,0.58
18,5/19/2017 18:00,1,37.79364,-122.26343,0.6
19,5/19/2017 19:00,1,37.79364,-122.26343,0.58
20,5/19/2017 20:00,1,37.79364,-122.26343,0.55
21,5/19/2017 21:00,1,37.79364,-122.26343,0.56
22,5/19/2017 22:00,1,37.79364,-122.26343,0.71
23,5/19/2017 23:00,1,37.79364,-122.26343,0.91
24,5/20/2017 0:00,1,37.79364,-122.26343,0.91
25,5/20/2017 1:00,1,37.79364,-122.26343,0.63
26,5/20/2017 2:00,1,37.79364,-122.26343,0.78
27,5/20/2017 3:00,1,37.79364,-122.26343,0.7
28,5/20/2017 4:00,1,37.79364,-122.26343,0.6
29,5/20/2017 5:00,1,37.79364,-122.26343,0.47
30,5/20/2017 6:00,1,37.79364,-122.26343,0.34
31,5/20/2017 7:00,1,37.79364,-122.26343,0.34
32,5/20/2017 8:00,1,37.79364,-122.26343,0.5
33,5/20/2017 9:00,1,37.79364,-122.26343,0.84
34,5/20/2017 10:00,1,37.79364,-122.26343,1.57
35,5/20/2017 11:00,1,37.79364,-122.26343,1.1
36,5/20/2017 12:00,1,37.79364,-122.26343,0.67
37,5/20/2017 13:00,1,37.79364,-122.26343,0.52
38,5/20/2017 14:00,1,37.79364,-122.26343,0.47
39,5/20/2017 15:00,1,37.79364,-122.26343,0.41
40,5/20/2017 16:00,1,37.79364,-122.26343,0.34
41,5/20/2017 17:00,1,37.79364,-122.26343,0.33
42,5/20/2017 18:00,1,37.79364,-122.26343,0.37
43,5/20/2017 19:00,1,37.79364,-122.26343,0.46
44,5/20/2017 20:00,1,37.79364,-122.26343,0.62
45,5/20/2017 21:00,1,37.79364,-122.26343,0.61
46,5/20/2017 22:00,1,37.79364,-122.26343,1.12
47,5/20/2017 23:00,1,37.79364,-122.26343,0.85
48,5/21/2017 0:00,1,37.79364,-122.26343,0.96
49,5/21/2017 1:00,1,37.79364,-122.26343,0.9
50,5/21/2017 2:00,1,37.79364,-122.26343,0.56
51,5/21/2017 3:00,1,37.79364,-122.26343,0.4
52,5/21/2017 4:00,1,37.79364,-122.26343,0.36
53,5/21/2017 5:00,1,37.79364,-122.26343,1.0
54,5/21/2017 6:00,1,37.79364,-122.26343,1.63
55,5/21/2017 7:00,1,37.79364,-122.26343,0.51
56,5/21/2017 8:00,1,37.79364,-122.26343,0.45
57,5/21/2017 9:00,1,37.79364,-122.26343,0.54
58,5/21/2017 10:00,1,37.79364,-122.26343,0.56
59,5/21/2017 11:00,1,37.79364,-122.26343,0.56
60,5/21/2017 12:00,1,37.79364,-122.26343,0.52
61,5/21/2017 13:00,1,37.79364,-122.26343,0.45
62,5/21/2017 14:00,1,37.79364,-122.26343,0.39
63,5/21/2017 15:00,1,37.79364,-122.26343,0.47
64,5/21/2017 16:00,1,37.79364,-122.26343,0.35
65,5/21/2017 17:00,1,37.79364,-122.26343,0.43
66,5/21/2017 18:00,1,37.79364,-122.26343,0.43
67,5/21/2017 19:00,1,37.79364,-122.26343,0.6
68,5/21/2017 20:00,1,37.79364,-122.26343,0.85
69,5/21/2017 21:00,1,37.79364,-122.26343,0.81
70,5/21/2017 22:00,1,37.79364,-122.26343,0.4
71,5/21/2017 23:00,1,37.79364,-122.26343,0.38
72,5/22/2017 0:00,1,37.79364,-122.26343,0.41
73,5/22/2017 1:00,1,37.79364,-122.26343,0.38
74,5/22/2017 2:00,1,37.79364,-122.26343,1.42
75,5/22/2017 3:00,1,37.79364,-122.26343,0.49
76,5/22/2017 4:00,1,37.79364,-122.26343,0.69
77,5/22/2017 5:00,1,37.79364,-122.26343,1.06
78,5/22/2017 6:00,1,37.79364,-122.26343,1.12
79,5/22/2017 7:00,1,37.79364,-122.26343,1.69
80,5/22/2017 8:00,1,37.79364,-122.26343,2.27
81,5/22/2017 9:00,1,37.79364,-122.26343,2.56
82,5/22/2017 10:00,1,37.79364,-122.26343,2.29
83,5/22/2017 11:00,1,37.79364,-122.26343,2.09
84,5/22/2017 12:00,1,37.79364,-122.26343,1.56
85,5/22/2017 13:00,1,37.79364,-122.26343,1.31
